[0.000000] (-) TimerEvent: {}
[0.001106] (-) JobUnselected: {'identifier': 'ur'}
[0.001302] (-) JobUnselected: {'identifier': 'ur5_kdl_ik'}
[0.001350] (-) JobUnselected: {'identifier': 'ur_calibration'}
[0.001450] (-) JobUnselected: {'identifier': 'ur_controllers'}
[0.003225] (-) JobUnselected: {'identifier': 'ur_dashboard_msgs'}
[0.003283] (-) JobUnselected: {'identifier': 'ur_robot_driver'}
[0.003389] (ur_description) JobQueued: {'identifier': 'ur_description', 'dependencies': OrderedDict()}
[0.003466] (ur_moveit_config) JobQueued: {'identifier': 'ur_moveit_config', 'dependencies': OrderedDict([('ur_description', '/workspace/ur5_ws/install/ur_description')])}
[0.003604] (ur5_minimal_moveit) JobQueued: {'identifier': 'ur5_minimal_moveit', 'dependencies': OrderedDict([('ur_description', '/workspace/ur5_ws/install/ur_description'), ('ur_moveit_config', '/workspace/ur5_ws/install/ur_moveit_config')])}
[0.003931] (ur5_motion_planning) JobQueued: {'identifier': 'ur5_motion_planning', 'dependencies': OrderedDict([('ur_description', '/workspace/ur5_ws/install/ur_description'), ('ur_moveit_config', '/workspace/ur5_ws/install/ur_moveit_config'), ('ur5_minimal_moveit', '/workspace/ur5_ws/install/ur5_minimal_moveit')])}
[0.004035] (ur_description) JobStarted: {'identifier': 'ur_description'}
[0.006480] (ur_description) JobProgress: {'identifier': 'ur_description', 'progress': 'cmake'}
[0.007744] (ur_description) JobProgress: {'identifier': 'ur_description', 'progress': 'build'}
[0.008632] (ur_description) Command: {'cmd': ['/usr/bin/cmake', '--build', '/workspace/ur5_ws/build/ur_description', '--', '-j11', '-l11'], 'cwd': '/workspace/ur5_ws/build/ur_description', 'env': OrderedDict([('HOSTNAME', 'a0498151e0e9'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/opt/ros/humble/lib/aarch64-linux-gnu:/opt/ros/humble/lib'), ('HOME', '/root'), ('OLDPWD', '/workspace'), ('ROS_PYTHON_VERSION', '3'), ('ROS_DISTRO', 'humble'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('ROS_LOCALHOST_ONLY', '0'), ('PATH', '/opt/ros/humble/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin'), ('LANG', 'C.UTF-8'), ('AMENT_PREFIX_PATH', '/opt/ros/humble'), ('PWD', '/workspace/ur5_ws/build/ur_description'), ('LC_ALL', 'C.UTF-8'), ('PYTHONPATH', '/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('COLCON', '1'), ('CMAKE_PREFIX_PATH', '/opt/ros/humble')]), 'shell': False}
[0.038755] (ur_description) CommandEnded: {'returncode': 0}
[0.040689] (ur_description) JobProgress: {'identifier': 'ur_description', 'progress': 'install'}
[0.045352] (ur_description) Command: {'cmd': ['/usr/bin/cmake', '--install', '/workspace/ur5_ws/build/ur_description'], 'cwd': '/workspace/ur5_ws/build/ur_description', 'env': OrderedDict([('HOSTNAME', 'a0498151e0e9'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/opt/ros/humble/lib/aarch64-linux-gnu:/opt/ros/humble/lib'), ('HOME', '/root'), ('OLDPWD', '/workspace'), ('ROS_PYTHON_VERSION', '3'), ('ROS_DISTRO', 'humble'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('ROS_LOCALHOST_ONLY', '0'), ('PATH', '/opt/ros/humble/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin'), ('LANG', 'C.UTF-8'), ('AMENT_PREFIX_PATH', '/opt/ros/humble'), ('PWD', '/workspace/ur5_ws/build/ur_description'), ('LC_ALL', 'C.UTF-8'), ('PYTHONPATH', '/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('COLCON', '1'), ('CMAKE_PREFIX_PATH', '/opt/ros/humble')]), 'shell': False}
