[0.051s] Invoking command in '/workspace/ur5_ws/build/ur_dashboard_msgs': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /workspace/ur5_ws/build/ur_dashboard_msgs -- -j11 -l11
[0.188s] [  0%] Built target ament_cmake_python_symlink_ur_dashboard_msgs
[0.236s] [  0%] Built target ur_dashboard_msgs__cpp
[0.472s] [ 12%] Built target ur_dashboard_msgs__rosidl_generator_c
[0.563s] running egg_info
[0.565s] [ 30%] Built target ur_dashboard_msgs__rosidl_typesupport_cpp
[0.568s] writing ur_dashboard_msgs.egg-info/PKG-INFO
[0.570s] writing dependency_links to ur_dashboard_msgs.egg-info/dependency_links.txt
[0.579s] writing top-level names to ur_dashboard_msgs.egg-info/top_level.txt
[0.586s] [ 43%] Built target ur_dashboard_msgs__rosidl_typesupport_introspection_cpp
[0.607s] [ 48%] Built target ur_dashboard_msgs__rosidl_typesupport_fastrtps_cpp
[0.628s] reading manifest file 'ur_dashboard_msgs.egg-info/SOURCES.txt'
[0.630s] writing manifest file 'ur_dashboard_msgs.egg-info/SOURCES.txt'
[0.641s] [ 69%] Built target ur_dashboard_msgs__rosidl_typesupport_introspection_c
[0.644s] [ 69%] Built target ament_cmake_python_build_ur_dashboard_msgs_egg
[0.645s] [ 72%] Built target ur_dashboard_msgs__rosidl_typesupport_c
[0.675s] [ 84%] Built target ur_dashboard_msgs__rosidl_typesupport_fastrtps_c
[0.717s] [ 84%] Built target ur_dashboard_msgs
[0.765s] [ 85%] Built target ur_dashboard_msgs__py
[0.846s] [ 96%] Built target ur_dashboard_msgs__rosidl_generator_py
[0.889s] [100%] Built target ur_dashboard_msgs__rosidl_typesupport_introspection_c__pyext
[0.892s] [100%] Built target ur_dashboard_msgs__rosidl_typesupport_fastrtps_c__pyext
[0.893s] [100%] Built target ur_dashboard_msgs__rosidl_typesupport_c__pyext
[0.937s] Invoked command in '/workspace/ur5_ws/build/ur_dashboard_msgs' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /workspace/ur5_ws/build/ur_dashboard_msgs -- -j11 -l11
[0.941s] Invoking command in '/workspace/ur5_ws/build/ur_dashboard_msgs': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /workspace/ur5_ws/build/ur_dashboard_msgs
[0.947s] -- Install configuration: ""
[0.948s] -- Execute custom install script
[0.949s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/share/ament_index/resource_index/rosidl_interfaces/ur_dashboard_msgs
[0.952s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/action/detail/set_mode__functions.h
[0.953s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/action/detail/set_mode__struct.h
[0.953s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/action/detail/set_mode__type_support.h
[0.954s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/action/set_mode.h
[0.955s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/detail/program_state__functions.h
[0.956s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/detail/program_state__struct.h
[0.957s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/detail/program_state__type_support.h
[0.957s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/detail/robot_mode__functions.h
[0.958s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/detail/robot_mode__struct.h
[0.959s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/detail/robot_mode__type_support.h
[0.959s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/detail/safety_mode__functions.h
[0.959s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/detail/safety_mode__struct.h
[0.960s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/detail/safety_mode__type_support.h
[0.961s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/program_state.h
[0.962s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/robot_mode.h
[0.962s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/rosidl_generator_c__visibility_control.h
[0.963s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/msg/safety_mode.h
[0.964s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/add_to_log.h
[0.965s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/add_to_log__functions.h
[0.965s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/add_to_log__struct.h
[0.966s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/add_to_log__type_support.h
[0.967s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_loaded_program__functions.h
[0.967s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_loaded_program__struct.h
[0.968s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_loaded_program__type_support.h
[0.969s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_program_state__functions.h
[0.969s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_program_state__struct.h
[0.970s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_program_state__type_support.h
[0.971s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_robot_mode__functions.h
[0.972s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_robot_mode__struct.h
[0.972s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_robot_mode__type_support.h
[0.973s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_safety_mode__functions.h
[0.974s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_safety_mode__struct.h
[0.974s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/get_safety_mode__type_support.h
[0.976s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/is_in_remote_control__functions.h
[0.977s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/is_in_remote_control__struct.h
[0.978s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/is_in_remote_control__type_support.h
[0.978s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/is_program_running__functions.h
[0.978s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/is_program_running__struct.h
[0.980s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/is_program_running__type_support.h
[0.981s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/is_program_saved__functions.h
[0.983s] -- Up-to-date symlink: /workspace/ur5_ws/install/ur_dashboard_msgs/include/ur_dashboard_msgs/ur_dashboard_msgs/srv/detail/is_program_saved__struct.h
